,reviews
0,"

  I got the wire to charge my iphone after being disappointed by so may others out there.. this one proved to be great! The 3 different charging extension helps me charge my phone and the power bank in one go and is overall very efficient. I just carry around this one charging wire for all my electronic needs! The wire charges fast and is a great asset for me

"
1,"

  It's a very good multi charging cable. Don't know if it's a fast charging cable but it charges fast if used with single device at a time.I definitely recommend this product.

"
2,"

  I have 3 phones , 1 Has lightning port, 1 Has type C , 1 Has micro usb.This thing is really helpful to me as I have only 2 sockets in my hostel room and borrowing an extension from my friends isnâ€™t always good. So this is the thing for me. Overall I think the packaging could have been better rest everything is fine.Update : It stopped working.

"
3,"

  Its good in length, strong, and does fast charging in every type. I love  it because of its three type usage. My brother and i both charge and play phone simultaneously together. Loved it

"
4,"

  We cool nylon 3 in 1 cable is too good.  You can charge multiple devices at the same time. It charges very fast. And the headache of carrying multiple chargers with you when you are travelling is also solved as you you can charge your iPhone or any android phone with this. At this price it offers very good value for money

"
5,"

  It doesn't support Data. It is only charging cable. Didn't expect WeCool can provide wrong information....

"
6,"

  I have a lot of devices. And iPad Pro 11, iPhone 11 Pro and android phones so carrying different chargers for every phone is a real hassle. So I ordered this cable. I have tried It with all of my devices and it is working fine with all devices with different ports type. However when I tried charging three devices of different port types together, charging speed was too slow so I charged one device at one time and then it is working fine.

"
7,"

  Nice quality product itâ€™s very nice and handy. Wire quality is excellent itâ€™s very flexible to bend in any position. It has 3 extensions which can be attached to any phones. I liked this product and very happy to buy this.

"
8,"

  My note 10 plus is taking 4 hours to charge fully in this..worst cable ..dont buy.

"
9,"

  The cable is built sturdy. It does not support fast charging.I bought it for fast-charging. Unfortunately, it doesn't fast charge.

"
10,"

  I got the wire to charge my iphone after being disappointed by so may others out there.. this one proved to be great! The 3 different charging extension helps me charge my phone and the power bank in one go and is overall very efficient. I just carry around this one charging wire for all my electronic needs! The wire charges fast and is a great asset for me

"
11,"

  It's a very good multi charging cable. Don't know if it's a fast charging cable but it charges fast if used with single device at a time.I definitely recommend this product.

"
12,"

  I have 3 phones , 1 Has lightning port, 1 Has type C , 1 Has micro usb.This thing is really helpful to me as I have only 2 sockets in my hostel room and borrowing an extension from my friends isnâ€™t always good. So this is the thing for me. Overall I think the packaging could have been better rest everything is fine.Update : It stopped working.

"
13,"

  Its good in length, strong, and does fast charging in every type. I love  it because of its three type usage. My brother and i both charge and play phone simultaneously together. Loved it

"
14,"

  We cool nylon 3 in 1 cable is too good.  You can charge multiple devices at the same time. It charges very fast. And the headache of carrying multiple chargers with you when you are travelling is also solved as you you can charge your iPhone or any android phone with this. At this price it offers very good value for money

"
15,"

  It doesn't support Data. It is only charging cable. Didn't expect WeCool can provide wrong information....

"
16,"

  I have a lot of devices. And iPad Pro 11, iPhone 11 Pro and android phones so carrying different chargers for every phone is a real hassle. So I ordered this cable. I have tried It with all of my devices and it is working fine with all devices with different ports type. However when I tried charging three devices of different port types together, charging speed was too slow so I charged one device at one time and then it is working fine.

"
17,"

  Nice quality product itâ€™s very nice and handy. Wire quality is excellent itâ€™s very flexible to bend in any position. It has 3 extensions which can be attached to any phones. I liked this product and very happy to buy this.

"
18,"

  My note 10 plus is taking 4 hours to charge fully in this..worst cable ..dont buy.

"
19,"

  The cable is built sturdy. It does not support fast charging.I bought it for fast-charging. Unfortunately, it doesn't fast charge.

"
20,"

  I use this cable to charge 3 kind of device one at a time, cable help to charge device but it failed after 30days of using it. This cable dose not support data transfer for any kind of devicefrom outside quality looks good but internal connection with jack is fragileThere is warranty you can't claim as there is a underlining to register this cable in before 15 days of purchase.

"
21,"

  I got cheated. I did not check the country of Origin and bought a Made In China product. I have stopped buying products made in that country since Made in India movement emphasis. This is another defective product. The prong for the Apple I Phone does not work at all. I tried with three different I phones 5S that I have and this did not work with any of those. It worked only on OppO phone. I paid for three prongs while only one works.  Be careful if you buy this one....... The cover sleeve from the I Phone charging prong came off within the first 5 minutes!!!!!!!!!!!!!! That speaks for the Quality!!!!!!!!!!

"
22,"

  The product looks classy and compact. Cable that arrived was faulty. It works only if charging device is placed at specific angles. Got replacement but the new cable charges slow even with a single device. When you connect multiple devices simultaneously the adapter heats up and charges slow. This cable took 6 hours to charge a single device with 3000 mAh battery. The type C cable is a one side cable, it doesn't charge when connected with the blank side on top. Want to return it but they just have 10 days replacement option. Do not recommend it.

"
23,"

  Liked this 3 in 1 concept to save some money instead of buying multiple cables but finally incurred loss. I purchased this cable few weeks back. It says fast charging, but it's charging speed is less than normal speed. Not even able to charge 10% in an hour. I have used it hardly for 15 days. Waste of money.

"
24,"

  Very cheap quality product..didnâ€™t last even for a week...I seriously thought itâ€™ll be a great product as I can charge all my phone in 1 go but it really turned out to be a very cheap product.. yesterday while I was pull out the I phone jack from my phone , I was surprised to see the charging pin was broken & was stuck in my I phone charging point.. very disappointed with the quality of the product..not gonna buy any lead from Amazon in future , God knows if they are of same quality ðŸ˜¡ðŸ˜¡ðŸ˜¡ðŸ˜¡

"
25,"

  The cable cannot be used in the car with Android Auo or Apple Car play. Buy only if you want to charge your devices and not have any data transfer over it.Unfortunately Amazon doesnâ€™t let me return this even though it is not useful for me.

"
26,"

  There doesnâ€™t seem to be enough charging power travelling through this chord as It says it charges all three at the same time, i say the lightning cable doesnâ€™t work at all!! I have tried in both of my iphones and it simply doesnâ€™t charge!! Only micro usb cable works

"
27,"

  This cable is quite bad on all levels.It's USB-C  connector stopped charging within a few months of purchase. It cannot charge 2 or more devices simultaneously either. Braided cable is ok, but plastic covers on connectors broke off within 2-3 days of use. It is being sold for Rs 350, but the overall quality is same as cables sold for Rs 150 in roadside stalls.I had taken it on a long trip and had to buy new cables because it stopped working. Typical chinese low quality stuff.

"
28,"

  The only thing fast about this order was the delivery, which reached me within 3 hours from ordering. The cable does not support fast charging. It's slower than regular charging without the dash adapter. False advertising.Cannot comment about the durability or strength yet. But expecting to be fully disappointed on those counts too.

"
29,"

  The delivery package came in a small plastic bag, it looked strudy but with in two days the wire fixtures coming off . They seem to be just stuck around with bad glue . The wire parts around the charging point and usb point all have come off. Dont purchase , not worth the money.Not at all fast charging.

"
30,"

  Does not support fast charging for my Samsung device.No point of buying...hence I am returning my product

"
31,"

  I purchased it for triple use with my OnePlus Nord (Type C USB), older Samsung Galaxy 7 (Micro USB and iPad.I found that the Type C pin is a little over-sized and would not connect. I tried it with another Samsung phone with Type C port and there also it would not connect.Obviously I did not use excesssive force to avoid damaage to the bult in female portion in the phone.  ( I have other Type C connectors and they  are mating smoothly). Howerver, other pins viz., microUSB and iP pins are OK. The nylon braiding and look are all fine.In short it didnt serve the purpose for which I bought it. Looks like there was no quality control or  it is a reject . Dont buy it if you are looking for use with Type C port device.

"
32,"

  The cable wire is a 2nd replacement, however is not compatible for Iphone 6s Plus as against mentioned is the brief description of the product.We are obligated to either thrash away the cable wire or keep replacing it since it does not work even on MI Note 7 phone.  As a customer we don't have time to keep replacing things, should be accurate in the first go.

"
33,"

  Amazon should take it updating the product description.This cable doesn't support fast charging.Cable durability and quality wise is good. But Its normal charging wire. Even data transfer is also not that fast.

"
34,"

  1. The packet itself has no WeCool brand on it but just a sticker on it has the brand name ""WeCool"". It makes the product itself prone to be replaced with fake ones. Anyone can duplicate it with a fake sticker. So I clearly doubt the originality of the product in itself. The company should have given a box and sealed it with plastic wrap like the most genuine brand does.2. My Moto X4 phone charges normally in 45 minutes with a turbocharger, but using this cable plugged into the same Moto turbocharger takes appx 2 hours to charge it ( also if only 1 device is being charged ). In that way, I cannot say it's a Type C cable in itself. It adds more time to completely charge when 2 devices are plugged.3. To my expectations, the cable can save you when you need your drained-up phone in a while but not immediately.4. I hope our companies make better and efficient products and apply fair pricing, so they could compete in the global market.

"
35,"

  Itâ€™s a nice cable and charges the phones. However as claimed in its photos that it can be used in cars etc, is not true. It does charge, but it does not sync with Apple CarPlay or any other syncing is not possible.

"
36,"

  The wire works as specified â€” I am able to connect USB C, micro USB and iPhone for charging.The charging speed is definitely high - even on slow charging adapters. The only drawback is that it does not function as a data cable. The PC does not pick up the connection when phone is connected, but it does charge well on PC USB as well. Maybe that's the give and take for such a design.I am also able to connect devices simultaneously for charging and it does charge simultaneously. Durably designed. It is sturdy.

"
37,"

  Received the product today (4/11/19) as committed. I tried charging my OnePlus phone. To my disappointment, it does not support fast charging as claimed (used OnePlus adapter).

"
38,"

  I am reviewing this item after using it for more than a month and I used it for my son's iPhone 6+ and it's working fine... I bought this because I may require it to use for my 1+7t (during any emergency as  a secondary charger) with C type charging pin and it's perfectly fitting.. though I didn't use it to charge my 1+ phone ...

"
39,"

  Worst product & service from wecool i ll not recommend this company any product to buy. With in 10 days of my purchase item stop charging vn i called wecool company i was informed that i have to courier it to Bangalore.

"
40,"

  With this cable we can only charge mobile phones but we can't transfer our files to PC or any other devices.we can't use this cable for Android auto play in cars. Actually I ordered it for Android auto feature in car ,but this cable doesn't support this. extremelyDisappointed

"
41,"

  With this cable takes 3hr 28 min to full charge my phone. With the orginal cable i takes 1hr 34 min only. Cable looks durable. But definitely not fast charge cable. Can be used for night time charging.

"
42,"

  I tried charging both simultaneously my iPhone 11 Pro and Redmi 8, iPhone was getting charged but Redmi was showing charged again and again in 1 min off and charge off and chargeAnd charging speed is too slow

"
43,"

  It was good at the start. However it started to malfunction in 3 months. Stopped charging consistently. No information on the invoice on how to get a warranty replacement. No reply from the seller either. Their one year warranty seems a farce.

"
44,"

  I would like to say..as a charging cable it will work..data transfer or similar utility like android auto with car is not supported..just serves basic charging..and quality is ok.

"
45,"

  The product changes very slowly, doesn't transfer data, does not work with regular usb plugs. Please do not buy,  dealer is selling the product with warranty but there is no warranty at all and also the product is not sealed when it comes to you. Do not buy.

"
46,"

  this product is very useful its durability is very good.nylon wire protection provides amazing support to it. this data cable can charge upto 3 phones at a time Android apple and c type port phone. Fast charging support is thereà¥¤.

"
47,"

  I have not noticed its a chinese product, else i would have not baught it.C type chrging pin does not work good.B type is working good. So purpose does not resolved to charge the power bank and mobile together

"
48,"

  Purchased on 28th September and have a experience decent amount of charging power and it's durability...It's been a month and using comfortably...Surely recommend to buy this product...For ts sturdiness n durability and sure wecool customer service !!!!!

"
49,"

  It is a good product that does most of the things and helps save space and clutter.HIGHLY RECOMMENDEDOnly drawback is that my phone does not connect to Google Auto in my car using this cable.

"
50,"

  There is no refund policy. One of my colleague also bought it and it has same problem. What will I do with replacement when it's build is faulty? Please do not buy for type C.

"
51,"

  Build quality of cable is good.Although it does not support quick charge, but its charging speed is more than regular cable.Highly recommended.

"
52,"

  Don't buy anyproduct of this company we cool ...this cable stopped working within a span of just 20 days and now is beyond exchange period ...all their products are cheap and bulk china import ...stop buyying any products of this company

"
53,"

  I wasn't expecting it to last at least this long, but it did. Bought it in Jan 2020, stopped working Jan 2021. All 3 pins stopped working. Have to say, very long for a Chinese product!

"
54,"

  All ok but major concern is computer to mobile data transfer is not working..buying for 399 and not getting data transfer means waste ..

"
55,"

  I bought this to facilitate simultaneous charging for Android, Apple and the new Samsung phones. Within a month the Android charger pin heads are sunk deep meaning they have lost their tension and are unable to make contact and the charger head slips out. This is bad but the other two are okay so far,

"
56,"

  I request with folded hand please donâ€™t buy this . I worked so much research before buying it, so many people refused me that donâ€™t buy wecool cable but didnâ€™t go with them and bought it on 6 oct. 2020. Itâ€™s 20th oct 2020 today and my cable is not functioning now and m so much disappointed to choose this. Poorest and very cheat class product, no service, to warranty, nobody listen your complaint. Go for any other brand but donâ€™t buy wecool.

"
57,"

  The cable seems to be ok for charging but doesn't work with Android Auto Car. Requested a replacement - let's see...19th Feb 2021 - got a replacement part. Turns out it is a wrong product :-) Requested Amazon to just cancel the order. There is no communication of any kind from the vendor.

"
58,"

  This cable doesn't Support quick / fast charging i tried it on Poco F1. it was normal charging. I used same poco charger which Supports fast charging. This cable is 2.0 instead of 3.0 Support

"
59,"

  It was an amazing experience to use this product. Seems very much durable, the charging power is enough to charge atleast 2 phones at a time. Very sturdy.I would recommend it to everyone, plus, it's a great product if you have a car charger.

"
60,"

  I'm disappointed to see the unbranded packet it came in and thought it to be a thick cable. It doesn't support Android Auto (means data is not supported). It is nylon braided and genuine product, so hoping to see it last long

"
61,"

  Horrible. This is the second time I am ordering this product as it was convenient. The first time, all 3 pins charged but the product wasn't sturdy and one of the pins broke.  So I reordered. In the new product, one of the pins for charging iPhone doesn't work at all. It's a faulty product.

"
62,"

  Worst item I have ever bought from Amazon.  Not at all fit for charging 3 phone together. Forget three phone, not even 1 phone does charge well. I will never suggest anyone to buy this. Loosly connect from charger end, usb not perfectly fit with charger body, whereas, original charger or another good brad extended braided cable I have, they all function well with same charger plug. Totally disappointed.

"
63,"

  Quality of the product is very good and nice and flexible to carry and charging is happening quickly if you putbinto power bank. Simply superb worth buying. Thanks to Amazon for quick delivery atbthis situation.

"
64,"

  Only product quality is good... But its not fast charging compatible. Its dummy ... Wont support 3A, It gives just 2A power...All think we can charge 3 mobiles at a time. But trust me Instead charging 3 mobiles at a time, we can charge them individually with another normal wire in less time than this cable take.Worst part is Amazon with out validating product, promoting cheaper products..

"
65,"

  Not at all durable, cable has loose wiring and charging keeps turning on and off because of loose connection. Defeats the purpose of buying expensive product.PATHETIC QUALITY. Don't buy.

"
66,"

  Fast charging may not happen if more devices connected at a time.Not charging iPhone after 2 days.Applied for replacement.

"
67,"

  The one of the best product that have such awesome quality rather then other product. The rpice is too cheap and you can look that its too beautiful while look. Awesome product

"
68,"

  Not supporting fast charging..Tried to return the product.But they are not returning instead sending replacement....And how will that slove the problem ???I don't konow...

"
69,"

  This cable has quality wire. Wire is very good.protected wire. Best cable ever. It can charge 3 different type phone at a time and it charge very fast all phone. I can use as travelling wire also.and wire is standard protected movable wire. Pin's also standard qualied.

"
70,"

  Using it for past 3 months for my iphone and Android phone. Works like a charm. Fast charging. No issues with multiple devices plugged at once.

"
71,"

  Purchased 2 times. A value for money product. Build quality is also good. You can try this for your multi-charging requirement and can be used in car or at home. Connects fast.

"
72,"


  Your browser does not support HTML5 video.


  Â I received today. I tested it for charging my Redmi note 8 and motorola g3 mobile, found fast charging. Sturdiness is expectable , total length to charging tip is 1m20cm (4 feet). I cannot tell about durability now, it seems having long durability.

"
73,"

  Some lock kind of arrangement for non connected ports would have made it an excellent product.Having said that performance and ports are of high quality

"
74,"

  I was looking for cable which can be used to charge 2-3 devices at a time. Charging speed is good. The wire is super due to its tight braiding. It also has 1 year warranty.

"
75,"

  I was able to charge Samsung M30 (C-type) and also Redmi phones with it, but I couldn't charge Lenovo Z2 Plus (also C-type) as it seemed like it was incompatible.I've returned the product.

"
76,"

  Th C-type stopped working after a month

"
77,"

  Though the product is very good in quality, it's not at all a fast charging cable.Even if my charger gives higher output, this cable is not supportive ðŸ˜’ and passing very very  less power only.  Taking almost 4 hours to charge my Samsung A51.It's not a worthy product as defined in its description

"
78,"

  This is really a very nice cable. It is tough, good quality and does fast charging at the same time. It has a maximum output of 3A unlike other who supports only upto 2.4A and cost just double of this. So, highly recommend. Just go for it is durable and is of very good quality and comes from a very trustworthy brand in india.

"
79,"

  Received with good condition today,  charging ctype and ordinary in 2 mobiles,  looks to be OK,  need to wait and watch the durability

"
80,"

  Now a days itâ€™s necessary to carry such cable which supports 3 types of charging port. I bought 2 of them.

"
81,"

  Itâ€™s very very average made in China ðŸ‡¨ðŸ‡³ Cable. Takes lot of  time to charge eve. If one phone is connected

"
82,"

  Strong due to the coating.Edit: Do not buy waste of money, only the micro USB works. The warranty option is just for the sake of trapping customers.Instead, go for the other cheaper options with only micro USB.

"
83,"

  within a month the charging capability has gone down. It is taking more than 7 hours to charge and if you plug two devices at the same then it will take 9 to 10 hours.Durability is not good

"
84,"

  Good product.I bought it for my Samsung phone and apple airpods.. it is working fine.But it is not working for my other one plus phone.. not sure if it the type c problem or one plus phone issue..

"
85,"

  The Apple pin stops working after 3-4 days. Apple now does not consider cable as genuine and doesn't let it charge the device.

"
86,"

  One of the great Charging cable. I am using it since  2 days.Pros: 1. Great build quality.  2. Charger ports are locked tightly. No loosen from port.  3.  Charing speed ( charging Nord 30 to 100% within  30 mins.  4. Coping files at  25mbps an average.Cons: didn't find yet.

"
87,"

  The product is good and the connectors are really good quality but It doesn't support fast charging.

"
88,"

  It is just a simple phone charging cable. Do not expect it to use for data transfer. It doesnâ€™t sync with your phone data.

"
89,"

  Not a fast charging cable. Connected to my phone's original power plug and only regular charging started. Ipad charging is slightly slower the original apple cable but it works. Seems flexible and durable. This is based on usage in the first week of purchase.

"
90,"

  I bought this item considering it will do data sync as well but unfortunately it did not. Quality of product is okay if using for Charging purpose only.

"
91,"

  Sir I returned this item for replacement because item's c- cable pin not working properly. replacement was not given till 30 days after placing replacement so I cancel replacement but till now money was not return. So I request you to return my amount or replace cable

"
92,"

  The cable is well made but it charges too slow for my liking, even with just one device connected. My iPad actually loses its charge while watching videos when connected to the (official) charger with this cable. Will be returning this.

"
93,"

  This cable does not transfer data only charge. But I liked this product. Multi charge ports . Good quality

"
94,"

  Useless product, not functioning from day  one . Avoid fraud product . Dear #amazion dose ur buyer check product before listing ??

"
95,"

  Very Good Product , But the speed of charging might reduced when connected more than one device.

"
96,"

  FOR MY IPHONE CHARGING IT STARTED TO NOT CHARGE STATUS FROM 2ND WEEK , WTF? IPHONE HAS TO DISCONNECT N THEN CONNECT AGAIN

"
97,"

  iPhone connector broke after a month.Now waiting to see when the other 2 will snap.

"
98,"

  Good product as we can charge multiple devices simultaneously and also no issues seen with charging my iphone. and also post sale support is good. There is immediate response from the team on any support.

"
99,"

  Very poor quality, broken on first use. Very bad charging capability. Wasted money.

"
100,"

  First it was showing ""charging slowly"" in my phone. Next minute it stopped working. I can't even return it now as it is too late to initiate return request.

"
101,"

  It only charges, does not transfer data. Purchased it for car but it only charging cable.

"
102,"

  With one mobile also dose not charge fast as said in discription as well as data transfer not possible. Wont recomend others for this product buy.

"
103,"

  Its very well built.Charging is very fast even when all ports are connected.Used this with 12Volt car charger, and even there it performed very well.

"
104,"

  Not satisfied with the item. Not working rapidly with dirt charger. Very slow Ã§harging with car charger.

"
105,"

  My other cables show fast charging while charging and this cable shows only cable  charging

"
106,"

  Am a regular travelling person so having this 3 way cable which supports fast charging is like a blessing. Highly recommended!!

"
107,"

  Not a fast charging one.  It takes long time even to charge one mobile alone.

"
108,"

  It works only for charging not data transfer for both iOS and androids.

"
109,"

  Worked only 10days till return option date. First it worked good and continuous use it is getting heat and stopped working finally. Worst product. Try to buy Branded product even price is higher, never go for this.

"
110,"

  Excellent  product ..it works with all 3 types.but charging  was fast with one mobile  at a time only..

"
111,"

  After use of 1 month the android charge type micro usb is not charging properly. It has become very very slow.However ios charging is ok.

"
112,"

  Worth to buy and best deal with Amazon, quality of the product is best for the offered price.

"
113,"

  This is superb product. I am using it for my OnePlus 6 and iPad since last 10 days. The charging speed is amazing. It is very similar in performance to original dash charger of OnePlus 6. I am very happy and satisfied with the performance of this product.

"
114,"

  After 10 days of usage two ports are not working. Not good quality as expected.

"
115,"

  It is not compatible with 2A charger.. When I started using this cable, my charger started heating up so fast and that too I could feel a very hot surface.

"
116,"

  Don't buy,Returned two times.Once micro USB not working while other time IPhone cable not working.Moreover,  Amazon not returning money to bank account. They are only offer amazona balance option. Such a ridiculous service

"
117,"

  Initially it was charging iPad air, after two charges, not working for iPad air. For iPad air this cable in not supporting. The cable is also getting heated quickly.

"
118,"

  Cable had a defect so I raised a request for replacement and within 2 days a new cable was sent and the defected piece collected. Very impressive service !!!

"
119,"

  Just ordinary and exhorbitant price. now the cable is not charging. My money is totally wasted.

"
120,"

  Only suitable for charging iPhone, but Mac machine fails to detect iPhone connecting through this cable.Need to buy another cable.

"
121,"

  This is not a fast charging cable. Durability is fine with 3 different heads to connect any device.

"
122,"

  I had bought this on April 9th 2021 and it has stopped working now. Feeling so disappointed and that this has not even come good for even 6 months. Please let me know if I can return it

"
123,"

  The good thing in this cable is it is lengthier than the OEM cables

"
124,"

  Great build quality. But fast charging is not supported. When connected to phone through a fast charger it doesn't shows 'fast charger connected' symbol. The cable built quality is great.

"
125,"

  I bought this thinking that this will come for ever, but in 2 months, the pin broke. Cheap materials used

"
126,"

  Built quality of charging cable seems good and durable. I have especially ordered this cable to charge my iPhone. But iPhone charger pin can able to charge only from one direction. I am little disappointed on this point.

"
127,"

  My phone shows 'fast charging' if I use my other USB C cable. This one does not charge fast. If you are looking for fast charging, pass this on..

"
128,"

  After about 1 months of use First one then all three heads stopped working. Now item is useless.

"
129,"

  Perfect cable for charging the mobile of all connection devices.

"
130,"

  The product is quite useful and looks durable. However not more than of nominal use the Type C port & micro usb started malfunctioning.Should go for better options other than this, it's total wastage of money and efforts.

"
131,"

  Very flimsy build quality. Initially the product appeared great but just after one month of use the type C charging port stopped functioning.Totally disappointed

"
132,"

  I have been using this product for over a month now it's a good cable.better than our normal cables yes u can charge two phones at the same time but it will be slow . It's quite long enough and nice strong . Ho for it

"
133,"

  The item frequently stops charging iPhone after few minutesDisplay error messageâ€œ accessories not supported â€œ

"
134,"

  Nicely built Solves the purpose and Nylon cover make it sturdy

"
135,"

  Good Product. The I Phone charging pin get dammaged after 2-3 days of use

"
136,"

  Value for money product. Charging speed is also fast. Really liked it and will definitely recommend it to buy. Thread kind cable makes it more flexible and no risk of damage. Happy to buy it...

"
137,"

  Within less than 1 month this charger stopped working. Now I am planning to buy new one from nearby shop and not online. I lost trust on buying charger online.So please don't buy this charger online.

"
138,"

  A very useful one for travelling. I have a iPhone 11 and Note 10. It charges well. Highly flexible one since the wire is made of fabric...

"
139,"

  This was like a perfect product which i required. I have multiple ports charger & it worked very well. All the USBs was working awesome & the connectivity was perfect.

"
140,"

  The product is not working as promised and it is not expected as such and Amazon India is not as promising as in USA.

"
141,"

  The chord works for charging purpose only and but was NOT use full for APPLE Car Play somehow.

"
142,"

  The product  quality is decent but it's usb typc C doesn't deliver turbo charging to your phone, it charges slowly like a regular micro usb.

"
143,"

  Very slow charging even with 1 amp charger compared to other USB cables.

"
144,"

  I have been looking for this type of product for a long time as i am using multiple mobiles and got this one, easy use, and easy to care

"
145,"

  Absolutely pathetic quality, since the day one u have been complaining and have requested for return but no-one bothers to pickup the product.  I simply wasted my money on this product.  Request everyone not to opt this product.

"
146,"

  As shown its not a fast chareger but has three different ports but the type c port is bit larger so i have to remove my phone cover to plug the charger in mobile. satisfied

"
147,"

  Superb quality and decent charging power. Very versatile, it can charge all types of devices and can charge upto three at once. USB type port also makes it easy to use and take anywhere

"
148,"

  Good quality charging cable, length almost 1.25 Mtr, tried charging two mobiles at same time, both got charged, excellent charging power, functions very well.

"
